player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
JA Kolsawala,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
SC Kuggeleijn,2024-2024,9,9,173,1,210,17,5/18,12.35,7.28,10.1,1,-,4,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
R Kumar,2024-2024,5,5,84,-,120,2,1/26,60.00,8.57,42.0,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
Kushal Malla,2024-2024,8,8,162,-,176,9,2/18,19.55,6.51,18.0,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
S Lamichhane,2024-2024,7,7,168,-,191,6,3/19,31.83,6.82,28.0,-,-,1,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
MA Leask,2024-2024,7,7,132,1,156,3,1/17,52.00,7.09,44.0,-,-,1,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
M Levitt,2024-2024,7,2,36,-,45,1,1/13,45.00,7.50,36.0,-,-,4,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
JN Loftie-Eaton,2024-2024,3,3,48,-,56,3,2/18,18.66,7.00,16.0,-,-,3,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
Lokesh Bam,2024-2024,7,1,6,-,8,1,1/8,8.00,8.00,6.0,-,-,2,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
RP Magar,2024-2024,5,1,12,-,22,1,1/22,22.00,11.00,12.0,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
S Maharjan,2024-2024,5,-,0,-,-,-,-,-,-,-,-,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
K Mahato,2024-2024,10,10,198,1,265,14,4/35,18.92,8.03,14.1,-,-,1,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
Z Malik,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
S Malla,2024-2024,8,7,117,-,132,7,3/11,18.85,6.76,16.7,-,-,1,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
Mayan Yadav,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
B McMullen,2024-2024,9,8,114,1,129,6,3/21,21.50,6.78,19.0,-,-,10,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
BWM Mike,2024-2024,1,1,18,-,29,1,1/29,29.00,9.66,18.0,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
BKEL Milantha,2024-2024,10,-,0,-,-,-,-,-,-,-,-,-,1,4
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
Mohammad Mohsin,2024-2024,9,9,207,2,200,12,3/40,16.66,5.79,17.2,-,-,3,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
TJ Moores,2024-2024,7,-,0,-,-,-,-,-,-,-,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
JK Mukhiya,2024-2024,1,1,12,-,12,-,-,-,6.00,-,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
D Nath,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
JDS Neesham,2024-2024,9,9,156,-,233,7,2/29,33.28,8.96,22.2,-,-,6,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
I Pandey,2024-2024,9,5,42,-,52,4,2/11,13.00,7.42,10.5,-,-,6,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
RK Paudel,2024-2024,7,6,114,-,107,8,4/17,13.37,5.63,14.2,-,-,3,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
Pratis GC,2024-2024,6,6,114,1,127,9,4/17,14.11,6.68,12.6,-,-,4,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
LN Rajbanshi,2024-2024,10,10,240,5,213,17,3/8,12.52,5.32,14.1,-,-,3,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
S Rana,2024-2024,4,-,0,-,-,-,-,-,-,-,-,-,1,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
Rashid Khan,2024-2024,7,6,104,-,136,6,3/43,22.66,7.84,17.3,-,-,1,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
B Rawal,2024-2024,8,-,0,-,-,-,-,-,-,-,-,-,5,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
RA Reifer,2024-2024,7,7,126,-,164,5,2/33,32.80,7.80,25.2,-,-,2,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
R Rijal,2024-2024,1,-,0,-,-,-,-,-,-,-,-,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
Rit Gautam,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
Rohan Mustafa,2024-2024,1,1,6,-,8,-,-,-,8.00,-,-,-,1,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
AS Routela,2024-2024,8,5,54,-,70,4,2/9,17.50,7.77,13.5,-,-,1,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
Saad Bin Zafar,2024-2024,7,7,150,-,171,9,3/21,19.00,6.84,16.6,-,-,6,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
AK Sah,2024-2024,7,-,0,-,-,-,-,-,-,-,-,-,12,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
NB Sarki,2024-2024,1,1,12,-,18,-,-,-,9.00,-,-,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
A Saud,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,1,3
Lumbini Lions (NPL),,,,,,,,,,,,,,,
N Saud,2024-2024,8,7,85,-,97,6,5/19,16.16,6.84,14.1,1,-,2,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Shahab Alam,2024-2024,7,7,138,-,125,6,3/20,20.83,5.43,23.0,-,-,3,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
B Sharki,2024-2024,7,3,30,-,30,-,-,-,6.00,-,-,-,3,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
BP Sharma,2024-2024,8,8,174,2,171,13,3/17,13.15,5.89,13.3,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
A Shrestha,2024-2024,1,-,0,-,-,-,-,-,-,-,-,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
P Shrestha,2024-2024,5,-,0,-,-,-,-,-,-,-,-,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
RR Simmonds,2024-2024,7,7,146,-,194,9,2/21,21.55,7.97,16.2,-,-,3,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
Sohail Tanvir,2024-2024,8,8,182,1,174,14,5/21,12.42,5.73,13.0,1,-,1,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
CB Sole,2024-2024,7,7,162,-,200,9,2/21,22.22,7.40,18.0,-,-,3,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
Sompal Kami,2024-2024,9,9,179,1,240,9,2/22,26.66,8.04,19.8,-,-,2,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
NA Sowter,2024-2024,3,3,54,-,86,1,1/32,86.00,9.55,54.0,-,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
Subash Bhandari,2024-2024,3,2,25,-,31,1,1/27,31.00,7.44,25.0,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
Surya Tamang,2024-2024,4,4,89,-,111,1,1/18,111.00,7.48,89.0,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
K Thagunna,2024-2024,3,-,0,-,-,-,-,-,-,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
H Thaker,2024-2024,10,9,186,2,197,11,5/23,17.90,6.35,16.9,1,-,2,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
UBS Thakuri,2024-2024,5,5,54,-,64,2,1/17,32.00,7.11,27.0,-,-,1,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
TB Thapa,2024-2024,3,2,12,-,19,-,-,-,9.50,-,-,-,1,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
A Tripathi,2024-2024,3,-,0,-,-,-,-,-,-,-,-,-,1,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
J Tromp,2024-2024,1,-,0,-,-,-,-,-,-,-,-,-,3,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
S Vesawkar,2024-2024,4,2,36,-,53,1,1/37,53.00,8.83,36.0,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
CAK Walton,2024-2024,9,-,0,-,-,-,-,-,-,-,-,-,4,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
A Yadav,2024-2024,5,3,48,-,69,3,2/16,23.00,8.62,16.0,-,-,4,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
B Yadav,2024-2024,6,6,89,-,171,3,1/9,57.00,11.52,29.6,-,-,3,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
NK Yadav,2024-2024,9,8,141,1,177,9,3/19,19.66,7.53,15.6,-,-,3,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
SA Zaib,2024-2024,9,9,145,-,151,12,3/33,12.58,6.24,12.0,-,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Zeeshan Maqsood,2024-2024,9,9,198,-,177,10,3/26,17.70,5.36,19.8,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
